Nama Hotel,Harga per malam,Bintang
Casa Coco Resort,IDR 330.341,3
Radika Paradise Villa & Cottage,IDR 737.602,3
Cordia Hotel Yogyakarta - Hotel Dalam Bandara,IDR 456.396,3
Sahid Raya Hotel & Convention Yogyakarta,IDR 473.451,4
The Rich Jogja Hotel,IDR 714.049,4
favehotel Kusumanegara,IDR 929.669,3
Dea Lokha Hotel,IDR 202.760,3
Innside by Melia Yogyakarta,IDR 760.991,4
Platinum Adisucipto Hotel & Conference Center,IDR 685.138,4
PRIMA SR Hotel & Convention,IDR 414.957,3
Ama Awa Resort,IDR 1.013.786,3
ARTOTEL Yogyakarta,IDR 969.761,4
D'Senopati Malioboro Grand Hotel,IDR 670.609,3
Golom Alpha Room by Vivo Apartment,IDR 259.214,3
Allstay Ecotel Yogyakarta,IDR 618.571,3
Khas Tugu Hotel Yogyakarta,IDR 871.586,3
The Atrium Hotel and Resort Yogyakarta,IDR 735.464,4
Garrya Bianti Yogyakarta,IDR 2.547.367,5
ARTOTEL Suites Bianti Yogyakarta,IDR 3.494.380,5
Unisi Hotel Malioboro - Jogja ( Syariah ),IDR 851.858,3
Villa Verde The Garden (Private Pool),IDR 1.740.495,3
Harper Malioboro Yogyakarta by Aston,IDR 1.872.214,4
H Boutique Hotel Yogyakarta,IDR 514.213,3
Grand Senyum Hotel Tugu Yogyakarta,IDR 942.148,4
Paradise Room By Vivo Apartment,IDR 267.767,3
Arte Hotel Malioboro Yogyakarta,IDR 690.082,3
Royal Ambarrukmo Yogyakarta,IDR 1.742.147,5
New Citra Hotel,IDR 184.049,0
Hyatt Regency Yogyakarta,IDR 1.463.519,5
the Amartya Jogjakarta Hotel,IDR 639.029,3
Indoluxe Hotel Jogjakarta,IDR 697.768,4
Ayaartta Hotel Malioboro,IDR 1.021.671,3
YATS Colony,IDR 861.315,3
Alzara Hotel Syariah,IDR 276.991,1
Jambuluwuk Malioboro Hotel Yogyakarta,IDR 1.036.643,5
Grand Zuri Malioboro Yogyakarta,IDR 1.032.686,4
Next Hotel Yogyakarta,IDR 410.820,4
Woodpecker Pavilion Hotel,IDR 406.301,2
RISS HOTEL MALIOBORO,IDR 976.238,4
Kampoeng Joglo Boutique Hotel,IDR 595.784,2
Melia Purosani Yogyakarta,IDR 2.353.305,5
eL Hotel Yogyakarta Malioboro,IDR 1.057.023,4
Mirta V Apartemen Jogja,IDR 295.762,3
RAJAKLANA Resort Villa and Spa,IDR 632.026,3
Ceria Boutique Hotel Yogyakarta,IDR 315.216,3
Homestay Tembi,IDR 223.099,0
The Mulyo,IDR 247.892,0
Ros In Hotel,IDR 424.982,4
Dhipa Kinanthi,IDR 765.495,3
Lumintu Guest House,IDR 227.572,0
Roemah Renjana Oasis Yogyakarta,IDR 1.657.881,3
Abadi Hotel Malioboro Yogyakarta by Tritama Hospitality,IDR 1.020.266,4
Maranatha Grand Hotel Malioboro,IDR 1.004.132,2
Modern House YIA,IDR 222.560,0
Giri Wanara Glamping Resort,IDR 762.395,3
Boutique Villa Jogja Senang,IDR 1.446.280,4
Amaranta Prambanan Yogyakarta,IDR 1.426.373,5
MORAZEN Yogyakarta (formerly Grand Dafam Signature International Airport Yogyakarta),IDR 563.719,4
Royal Darmo Malioboro Hotel,IDR 654.296,4
De Gadri Ndalem Yogyakarta,IDR 325.994,2
Arkamaya Kusuma Resort & Glamping,IDR 1.004.131,3
Fernasya Guest House,IDR 1.334.709,3
Swiss-Belhotel Airport Yogyakarta,IDR 494.545,4
The Arizon @ Malioboro Hotel,IDR 409.049,2
Villa Graha Wisesa 2,IDR 1.999.999,2
Kasmiyem Homestay,IDR 101.687,1
Iran Homestay,IDR 125.632,1
Ceria Hotel Yogyakarta,IDR 543.331,2
Hotel Omah Cepit,IDR 252.479,1
De Nilaya Yogyakarta,IDR 401.611,3
Upala Villa Yogyakarta,IDR 659.999,3
Grand Orchid Hotel Yogyakarta,IDR 388.351,3
Villa Kayu Yogyakarta,IDR 702.053,3
JK Bhavana Villas,IDR 1.999.999,3
Mekar Lestari Cottage,IDR 402.468,2
Novotel Yogyakarta International Airport Kulon Progo,IDR 661.500,4
ArFe Room Apartemen Taman Melati Yogyakarta,IDR 326.896,3
Collection O Kp Inn Yogyakarta,IDR 197.585,2
The Kharma Villas Yogyakarta,IDR 2.305.785,5
Villa Kamar Tamu Piyungan,IDR 501.494,3
Private Villa - Arimbi Resort,IDR 2.563.259,3
Bukit Indah Hotel,IDR 178.904,1
Grand Diamond Hotel Yogyakarta,IDR 1.067.357,4
Cahaya Kasih Malioboro Hotel,IDR 282.644,1
@K Hotel Kaliurang,IDR 537.129,4
OYO 3562 Pondok Inspirasi Minggir,IDR 58.728,2
Baron Lighthouse Cottage & Eatery,IDR 736.042,2
Sawah Tamanan Villa & Resort,IDR 600.247,3
Villa Joglo Kinanti,IDR 3.141.817,3
Kotta GO Yogyakarta,IDR 638.016,3
THE 1O1 Yogyakarta Tugu,IDR 1.318.105,4
Ramada by Wyndham Yogyakarta,IDR 339.291,4
Villa Kamar Tamu Selomartani,IDR 531.643,3
Dparagon Malioboro,IDR 398.305,1
The Westlake Hotel & Resort Yogyakarta,IDR 953.752,4
Asram Edupark,IDR 459.995,2
Studio Room C922 At Malioboro City Apartemen by Jowo Klutuk,IDR 399.167,3
Grand Altuz Hotel Yogyakarta,IDR 1.267.184,4
House of Briel Homestay Jogja,IDR 699.999,3
nDalem Abhirama,IDR 207.170,1
Ndalem Hapsari,IDR 551.156,3
Ibis Yogyakarta International Airport Kulon Progo,IDR 455.000,3
Srikandi Baru Inn Blok O,IDR 218.182,1
Cendhani Raras Gallery,IDR 296.999,0
Penginapan Prambanan TRISAN,IDR 238.057,1
Aveta Hotel Malioboro,IDR 1.340.950,3
Pulang Ke Uttara,IDR 1.319.348,4
Hotel FortunaGrande Seturan Yogyakarta By Fosia Hotels,IDR 842.148,4
RedDoorz near Parangtritis Beach,IDR 206.482,2
Sambi Resort & Spa,IDR 326.810,3
Crystal Lotus Hotel Yogyakarta,IDR 519.762,4
Joglo Mandapa Boutique Hotel & Resto,IDR 484.431,3
STADIO HOSTEL MALIOBORO,IDR 87.199,1
OYO 1959 Penginapan Kepurun Pawana Indonesia,IDR 96.232,2
Mayasari Guest House Pantai Krakal,IDR 209.047,0
Edge Resort Yogyakarta,IDR 1.537.098,3
Griya Zukarnaen Syariah Mitra RedDoorz,IDR 201.077,2
Joglo Plawang Villa & Resort,IDR 472.202,4
Best City Hotel,IDR 386.363,3
Grand Sarila Hotel Yogyakarta,IDR 504.352,3
Kalya Hotel Yogyakarta,IDR 239.568,3
DParagon Perumnas,IDR 211.983,0
Cendana Villa Jogja,IDR 3.082.644,3
Vila Arimbi Pantai Trenggole,IDR 349.999,0
Griya Permata By Cirlo Near UII,IDR 167.314,0
Hotel Wijaya Family 2,IDR 131.177,0
